"homebranch","barcode","dateaccessioned","ccode","itemcallnumber","itype","author","title"
,"linwnews00920=LDR  0","2011-09-07",,,,,"The DeSoto Eagle Eye. | The DeSoto Eagle Eye."
"BALDWIN",,"2011-11-21",,,"XXX","Werner, Jane.","Poetry :"
"BALDWIN",3031001933,"2011-11-12","BOOKONCD","CDB CON","XXX","Connelly, Michael,","The reversal /"
"BERN",6041012,"2010-06-04",,,,,"The lost child"
"CARBONDALE",3017001121,"2011-04-19","DVD","DVD","XXX",,"Dear John"
"CARBONDALE",,"2011-09-30",,,"XXX","Hope, Laura Lee.","The Bobbsey twins on Blueberry Island"
"CARBONDALE",3017008142,"2010-08-10","LARGEPRINT","LP Lewis","XXX","Lewis, Beverly,","The forbidden /"
"CARBONDALE",3017001593,"2010-01-30","FICTION","F Koontz","XXX","Koontz, Dean R.","The taking"
"CARBONDALE",3017001708,"2010-08-03","HOLIDAY","Y James","XXX","James, Sabrina.","Secret Santa /"
"CARBONDALE",3017001291,"2009-12-17","FICTION","F Patterson","XXX","Patterson, Richard North.","Exile :"
"CARBONDALE",3017007448,"2010-09-30","NONFICTION","641 Gooseberry",,"Gooseberry Patch.","Gooseberry Patch Christmas #12."
"CARBONDALE",3017000550,"2009-06-02","FICTION","Y Kelly","XXX","Kelly, Katy,","Lucy Rose, here's the thing about me /"
"CARBONDALE",3017008563,"2011-08-25","EASY","C Tankel","XXX","Holtz, Lara Tankel,","What's the time? /"
"CARBONDALE",3017001125,"2011-04-19","DVD","DVD","XXX",,"Angels & demons"
"CARBONDALE",3017001269,"2011-04-29","EASY","F Noll",,"Feynman, Richard Phillips.","Classic Feynman :"
"CARBONDALE",3017001133,"2011-04-19","DVD","DVD","XXX",,"The hangover"
"CARBONDALE",3017006494,"2011-04-12","FICTION","F Selfors",,"Selfors, Suzanne.","Fortune's magic farm /"
"CARBONDALE",3017007436,"2011-01-27","FICTION","F Deveraux","XXX","Deveraux, Jude.","The scent of Jasmine /"
"CARBONDALE",,"2011-01-11",,,,,"Dead silent. VIDEODISC"
"CARBONDALE",3017008786,"2010-08-05","READER","EZ Cocca-Leffler","XXX","Cocca-Leffler, Maryann,","Calling all cats /"
"CARBONDALE",3017008784,"2010-08-05","FICTION","F Salvatore","XXX","Salvatore, R. A.,","The dark elf trilogy /"
"CARBONDALE",3017008772,"2010-08-05","EASY","C Inches","XXX","Inches, Alison.","Big sister Dora /"
"CARBONDALE",3017008770,"2010-08-05","READER","EZ Berenstain","XXX","Berenstain, Stan,","The Berenstain Bears catch the bus /"
"CARBONDALE",3017008052,"2011-07-22","WESTERN","W McMurty","XXX","McMurtry, Larry.","Lonesome dove /"
"CARBONDALE",3017008750,"2009-03-09","READER","EZ Kline","XXX","Kline, Suzy.","Horrible Harry and the mud gremlins /"
"CARBONDALE",3017006972,"2009-03-05","FICTION","F Wiggs","XXX","Wiggs, Susan.","The lightkeeper /"
"CARBONDALE",3017006977,"2009-03-05","FICTION","F Wiggs","XXX","Wiggs, Susan.","The drifter /"
"CARBONDALE",3017006976,"2009-03-05","FICTION","F Wiggs","XXX","Wiggs, Susan.","Lakeside cottage /"
"CARBONDALE",3017006973,"2009-03-05","FICTION","F Wiggs","XXX","Wiggs, Susan.","Summer at Willow Lake /"
"CARBONDALE",3017006702,"2009-03-05","FICTION","F Stabenow","XXX","Stabenow, Dana.","Killing grounds :"
"CARBONDALE",3017006772,"2009-03-05","FICTION","F Wells","XXX","Wells, Rebecca,","Divine secrets of the Ya-Ya Sisterhood :"
"CARBONDALE",3017006745,"2009-03-05","FICTION","F Stone","XXX","Stone, Katherine,","The other twin /"
"CARBONDALE",3017006717,"2009-03-05","FICTION","F Steel","XXX","Steel, Danielle.","The ghost /"
"CARBONDALE",3017006696,"2009-03-05","FICTION","F Stephens","XXX","Stephens, Darri.","Spooning :"
"CARBONDALE",3017006689,"2009-03-05","FICTION","F Spindler","XXX","Spindler, Erica,","Last known victim /"
"CARBONDALE",3017005240,"2009-03-04","READER","EZ LeSieg","XXX","LeSieg, Theo.,","The tooth book /"
"CARBONDALE",3017006987,"2009-03-05","FICTION","F Woods","XXX","Woods, Sherryl.","Stealing home /"
"CARBONDALE",3017008499,"2009-03-09","READER","EZ Brown","XXX","Krensky, Stephen.","Arthur and the lost diary /"
"CARBONDALE",3017006989,"2009-03-05","FICTION","F Woods","XXX","Woods, Stuart.","L.A. times"
"CARBONDALE",3017008743,"2009-03-09","READER","EZ Delton","XXX","Delton, Judy.","Spring sprouts /"
"CARBONDALE",3017002861,"2009-03-05","FICTION","F Pearson","XXX","Pearson, Allison,","I don't know how she does it :"
"CENTRALIA",3002003928,"2010-05-28",,"E BOO",,,"Farmyard 1 2 3 /"
"CENTRALIA",1003002107868,"0002-11-09","VHS","VHS CLASSIC 868","XXX",,"Gone with the wind"
"CENTRALIA",3002003924,"2010-05-28",,"E BOO",,,"Jungle abc /"
"CENTRALIA",3002004372,"2011-05-13",,,,"Woods, Stuart.","Bel-Air dead"
"CENTRALIA",3002003334,"2009-11-27","EASY","E MAY",,"Mayer, Gina.","Just me in the tub /"
"CENTRALIA",3002003332,"2009-11-23","NONFICTION","810.8 CHI",,,"Chicken soup for the mother's soul 2 :"
"CENTRALIA",3002002658,"2009-11-04","NONFICTION","551.46 WEN",,"Wendorff, Anne.","Tsunamis /"
"CENTRALIA",1010,"2010-06-23","MAGAZINE","june/july","XXX",,"National geographic kids."
"DONITROY",,"2011-12-23",,"793.73/5","XXX","Wick, Walter.","I spy spooky night :"
"EFFINGHAM",,"2009-02-18","READER","[JEASY BER","XXX","Berenstain, Stan,","Bears on wheels,"
"EFFINGHAM",3021002646,"2009-03-14","FICTION","JF DiC","XXX","DiCamillo, Kate.","The miraculous journey of Edward Tulane /"
"EFFINGHAM",3021003027,"2009-10-28","NONFICTION","598.75 GUS",,"Gusewelle, C. W.","A gift of wings /"
"EFFINGHAM",3021001054,"2009-02-11","EASY","J EASY COL","XXX","Relf, Patricia.","The magic school bus wet all over :"
"EFFINGHAM",3021004926,"2011-02-05","VHS","VHS TEE","XXX",,"Teen wolf"
"EFFINGHAM","BCHere","2010-05-27",,,,"Nash, Helen,","Water gardening in containers :"
"EFFINGHAM",3021006926,"2010-05-26","EASY","J EASY CAS","XXX","Caseley, Judith.","Dear Annie /"
"EFFINGHAM",3021000281,"2009-04-29","FICTION","FICCLA","XXX","Clark, Mary Higgins.","All around the town /"
"EFFINGHAM",3021003328,"2009-03-21","FICTION","JF SOB","XXX","Sobol, Donald J.,","Encyclopedia Brown tracks them down /"
"EFFINGHAM",3021006761,"2010-03-22","EASY","J EASY STE","XXX","Leonard, Kimberly.","Stewie the Duck learns to swim"
"EFFINGHAM",,"2010-08-04","NONFICTION",,"XXX",,"101 Cool Science Expermints"
"EFFINGHAM",,"0000-00-00",,"YA","XXX","Adler, C. S.","Footsteps on the stairs :"
"EFFINGHAM",3021000579,"2009-04-29","FICTION","FIC GUL","XXX","Gulley, Philip.","Just shy of Harmony /"
"EFFINGHAM",,"2010-07-14",,,"XXX",,"Christmas sing-alongs"
"EFFINGHAM",3021000416,"2009-04-29","FICTION","FIC EDW","XXX","Edwards, Kim,","The memory keeper's daughter /"
"EFFINGHAM",,"2011-09-14",,"[Fic]",,"Forman, Gayle.","Where she went /"
"EFFINGHAM",3021000163,"2009-04-29","FICTION","FIC BIN","XXX","Binchy, Maeve.","Evening class /"
"EFFINGHAM",3021008434,"2011-08-04","DVD","J DVD FAM","XXX",,"4 movie marathon"
"EFFINGHAM",3021000213,"2009-04-29","FICTION","FIC BRO","XXX","Brown, Dee Alexander.","Killdeer Mountain :"
"EFFINGHAM",3021006327,"2009-10-22","FICTION","FIC FOL",,"Follett, Ken.","The third twin :"
"HIAWATHA",3010012546,"2011-08-03","SF-FANT","SF DENNING","XXX","Denning, Troy.","The summoning /"
"HIAWATHA",3010013241,"2011-10-29","MAGAZINE","MAG WEK V. 17 NO. 6 OCT 24, 2011",,,"The weekly standard."
"HIAWATHA",,"2011-06-06",,"[Fic]","XXX","Blume, Judy.","Tales of a fourth grade nothing /"
"LEAVENWRTH",,"2011-07-29",,"782.42 M134",,"McDermott, John,","Remembrance"
"LYNDON",,"2011-05-16","DVD",,,,"Combat classics"
"LYNDON",,"2011-07-11",,,,,"Western classics"
"LYNDON",,"2011-05-16","DVD",,,,"Western classics"
"LYNDON",,"2011-05-16","DVD",,,,"Western classics"
"LYNDON",,"2011-05-16","DVD",,,,"Western classics"
"LYNDON",,"2011-05-16","DVD",,,,"Western classics"
"LYNDON",,"2011-05-16","DVD",,,,"Western classics"
"LYNDON",3017008533,"2011-07-12",,,"XXX","Wingate, Lisa.","Good Hope Road /"
"LYNDON",,"2011-05-16","DVD",,,,"Combat classics"
"LYNDON",,"2011-05-16","DVD",,,,"Combat classics"
"LYNDON",,"2011-05-16","DVD",,,,"Western classics"
"NEKLS",,"2011-12-22",,,,,"A Christmas carol"
"NEKLS",,"2011-12-17",,,"XXX","Giusti, Debby","Protecting Her Child"
"NEKLS",,"2011-12-17",,"599.649/7/0979","XXX","Meloy, Ellen.","Eating stone :"
"NEKLS",,"2011-12-17",,133.5,"XXX","Gerwick-Brodeur, Madeline.","The complete idiot's guide to astrology /"
"NEKLS",,"2011-12-17",,,"XXX","Hansen, Valerie","Hidden in the Wall"
"NEKLS",,"2011-12-17",,"294.5/44","XXX","Yogananda,","Inner peace :"
"NEKLS",,"2011-12-17",,,"XXX","Black, Baxter,","Cowboy standard time /"
"NEKLS",,"2011-12-17",,,"XXX","Mimori, Ao.","B.O.D.Y."
"NEKLS",3008001825,"2011-10-24","MAGAZINE","MAGAZINE OCT 2011","XXX",,"Voice of youth advocates :"
"OSAGECITY","3ZC90000258873","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025883%","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025892%","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000259481","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025925$","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025870 ","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025882+","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025890/","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000258862","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027476%","2010-02-03","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025880$","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025874%","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000258772","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000258851","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025930Z","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025920Y","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025919%","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000258750","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000258895","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025903Z","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025933 ","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025922-","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027480.","2010-02-03","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025955%","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027467%","2010-02-05","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000274882","2010-02-03","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025942 ","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027475+","2010-01-26","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025927+","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025914.","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025906 ","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000259290","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027485%","2010-02-03","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000258930","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025921Z","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000258963","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000274860","2010-02-03","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027483/","2010-02-03","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025873+","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000258952","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027491$","2010-02-03","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000258794","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000274781","2010-01-26","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025902Y","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000259571","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025954+","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027493+","2010-01-26","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025900W","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000274691","2010-01-26","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027484+","2010-01-26","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027482$","2010-02-03","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025940-","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027445 ","2010-02-05","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025934$","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025923.","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000258941","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025945+","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025935/","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000258761","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025909+","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025953/","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025924 ","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000259582","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025950.","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027451Z","2010-02-05","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025913-","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000274770","2010-02-03","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027455$","2010-02-05","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025908/","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027440X","2010-02-05","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027494%","2010-02-03","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000259593","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025946%","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027474/","2010-02-03","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025943$","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000274950","2010-02-03","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027464$","2010-02-05","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025911Y","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000258996","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027492/","2010-02-03","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000259380","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000274893","2010-02-03","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027437$","2010-02-05","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025952$","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027490 ","2010-01-26","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000274680","2010-01-26","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027471.","2010-01-26","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000274961","2010-01-26","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027457+","2010-02-05","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000274871","2010-01-26","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027461-","2010-02-05","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027448+","2010-02-05","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027449%","2010-02-05","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027442Z","2010-02-05","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025941.","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027472 ","2010-01-26","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025907$","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025917/","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027443-","2010-02-05","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025915 ","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027481 ","2010-01-26","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000258884","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025932.","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025916$","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000258783","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000259470","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025910X","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000259492","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025951 ","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025944/","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000258840","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025872/","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000274792","2010-02-03","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025905.","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027458%","2010-02-05","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000258974","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025912Z","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025904-","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025937%","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000259560","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000259391","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025931-","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025881/","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"POMONA",3030003773,"2011-12-12","FICTION","F MEYER, STEPHENIE",,"Meyer, Stephenie,","Breaking dawn /"
"POMONA",3030003778,"2011-12-12","FICTION","F MEYER, STEPHENIE",,"Meyer, Stephenie,","Eclipse /"
"SENECA",3028029180,"2011-12-07","DVD","DVD J887 LEAP","XXX",,"LeapFrog"
"SENECA",3028029156,"2011-12-02","NONFICTION","364.152p HEN",,"Henderson, Tom.","Blood in the snow :"
"WELLSVILLE",,"2011-12-19",,"J636.7","XXX","Green, Sara,","Collies /"
"WELLSVILLE",,"2011-12-19",,"J599.85","XXX","Zobel, Derek,","Chimpanzees /"
"WELLSVILLE",3018018724,"2011-12-19","FICTION","JE Loupy","XXX","Loupy, Christophe,","Don't worry, Wags /"
"WILLIAMSBG",,"2011-11-17",,,,"Schneebeli-Morrell, Deborah.","The art of papercutting /"
"WILLIAMSBG",3013015864,"2010-12-22","WESTERN","F WESTERN JOHNSTONE","XXX","Johnstone, William W.","Triumph of the mountain man ;"
"WILLIAMSBG",3013008306,"2011-01-04","NONFICTION","793.7 LEEDY",,"LOREEN LEEDY","FRACTION ACTION"
"WILLIAMSBG",3013015871,"2010-12-22","WESTERN","F WESTERN COMPTON","XXX","Compton, Ralph.","The border empire /"
"WILLIAMSBG",3013015851,"2010-12-22","FICTION","F BINCHY","XXX","Binchy, Maeve.","Nights of rain and stars /"
"WILLIAMSBG",3013015800,"2010-12-20",,,,,"BARBERSHOP 2"
"WINCHESTER",3007002005,"2008-09-15",,,"XXX",,"Fine Woodworking - August 2008"
"WINCHESTER",3007003685,"2010-09-23",,,"XXX",,"Everybody loves.......Babies"
"WINCHESTER",3007002103,"2008-10-24","DVD","DVD HOOD","XXX",,"Hoodwinked"
"WINCHESTER",3007002093,"2008-10-27","BOARDBK","E BOARD BK ZELDA","XXX",,"Zelda's Lick or Treat"
"WINCHESTER",3007002121,"2008-10-28","NEW","EASY FIC ELLIOT","XXX",,"Igor Presents The Official 51st Annual Evil Science Fair"
"WINCHESTER",,"2009-01-12","NEW","J","XXX","Rowling, J. K.","The Tales of Beedle the Bard /"
"WINCHESTER",,"2009-05-27","NONFICTION","577.4/4","XXX","Tarbox, A. D.","A prairie food chain /"
"WINCHESTER",3007003023,"2009-12-29","DVD","DVD JESUS","XXX",,"Jesus, The Son of God"
"WINCHESTER",,"2010-11-17",,,"XXX","Marshall, Anne.","Did dinosaurs baby-sit?"
"WINCHESTER",,"2011-10-17",,,"XXX",,"Midnight fright ;"
"WINCHESTER",3007004066,"2010-12-29","PAPERBACK","PB FICTION ROBERTS","XXX","Roberts, Nora.","Considering Kate /"
"WINCHESTER",3007002006,"2008-09-15",,,"XXX",,"Fine Woodworking - August 2008"
"WINCHESTER",3007004312,"2011-03-29","FICTION","E FICTION TOWNSEND",,"Townsend, Michael","Monkey & Elephant's worst fight ever! /"
