Library,"Requests placed last month","Requests filled last month","Requests cancelled after placement on hold shelf","Requests cancelled while in transit","Requests cancelled before an item was found","Requests cancelled total","Requests expired last month","Requests placed by staff","Requests placed in the OPAC"
"Atchison Public Library",2748,1235,109,4,38,151,7,832,1916
"Baldwin City Public Library",812,339,61,4,30,95,11,348,464
"Basehor Community Library",3308,1703,168,3,80,251,10,852,2456
"Bern Community Library",36,22,0,1,1,2,0,36,0
"Bonner Springs City Library",3688,1495,163,15,112,290,8,1228,2460
"Burlingame Community Library",466,188,13,0,22,35,4,264,202
"Carbondale City Library",204,110,5,2,0,7,0,88,116
"Centralia Community Library",78,40,2,2,1,5,0,60,18
"Corning City Library",3,3,0,0,0,0,0,3,0
"Digital Content",0,0,0,0,0,0,0,0,0
"Doniphan County Library - Elwood",26,24,0,8,4,12,2,26,0
"Doniphan County Library - Highland",268,147,1,0,2,3,0,226,42
"Doniphan County Library - Troy",226,76,9,1,9,19,0,134,92
"Doniphan County Library - Wathena",36,55,1,3,1,5,0,25,11
"Effingham Community Library",74,32,0,0,0,0,0,54,20
"Eudora Community Library",1082,415,44,2,30,76,1,312,770
"Everest, Barnes Reading Room",336,136,4,0,2,6,0,46,290
"Hiawatha, Morrill Public Library",1250,489,48,15,52,115,5,666,584
"Highland Community College",3,3,0,0,0,0,0,2,1
"Holton, Beck-Bookman Library",892,411,40,16,40,96,20,500,392
"Horton Public Library",112,21,8,0,2,10,0,50,62
"Lansing Community Library",1256,480,98,5,39,142,3,526,730
"Leavenworth Public Library",3270,1424,208,6,80,294,3,944,2326
"Linwood Community Library",204,112,7,1,11,19,3,78,126
"Louisburg Library",0,0,0,0,0,0,0,0,0
"Lyndon Carnegie Library",150,109,5,2,14,21,1,92,58
"McLouth Public Library",110,36,5,0,3,8,1,68,42
"Meriden-Ozawkie Public Library",1262,553,11,1,15,27,0,380,882
"Northeast Kansas Library System",68,14,3,2,17,22,0,34,34
"Nortonville Public Library",116,70,3,0,4,7,2,28,88
"Osage City Library",1020,439,105,11,41,157,4,830,190
"Osawatomie Public Library",1074,448,16,5,63,84,7,822,252
"Oskaloosa Public Library",390,147,15,3,16,34,4,198,192
"Ottawa Library",2114,865,163,8,61,232,13,934,1180
"Overbrook Public Library",446,248,10,1,9,20,0,228,218
"Paola Free Library",1078,411,81,9,45,135,15,614,464
"Perry-Lecompton Community Library",30,15,0,0,3,3,0,24,6
"Pomona Community Library",260,57,7,2,5,14,3,62,198
"Prairie Hills Schools - Axtell Public School",120,49,2,2,2,6,0,120,0
"Prairie Hills Schools - Sabetha Elementary School",144,49,30,0,5,35,0,144,0
"Prairie Hills Schools - Sabetha High School",3,3,0,0,0,0,0,2,1
"Prairie Hills Schools - Sabetha Middle School",3,4,0,0,2,2,1,3,0
"Prairie Hills Schools - Wetmore Academic Center",0,0,0,0,0,0,0,0,0
"Richmond Public Library",294,117,0,0,5,5,0,128,166
"Rossville Community Library",776,402,23,9,30,62,1,534,242
"Sabetha, Mary Cotton Library",1290,647,2,0,28,30,0,454,836
"Seneca Free Library",410,190,8,0,11,19,0,198,212
"Silver Lake Library",678,276,22,3,13,38,0,404,274
"Tonganoxie Public Library",1294,570,84,0,27,111,0,464,830
"Valley Falls, Delaware Township Library",346,123,15,1,3,19,0,216,130
"Wellsville City Library",648,302,28,6,6,40,0,380,268
"Wetmore Public Library",346,152,2,2,5,9,1,194,152
"Williamsburg Community Library",46,16,9,0,2,11,1,12,34
"Winchester Public Library",230,99,11,0,6,17,0,114,116
