Library,"Requests placed last month","Requests filled last month","Requests cancelled after placement on hold shelf","Requests cancelled while in transit","Requests cancelled before an item was found","Requests cancelled total","Requests expired last month","Requests placed by staff","Requests placed in the OPAC"
"Atchison Public Library",2310,1059,85,24,47,156,7,694,1616
"Baldwin City Public Library",844,372,25,0,27,52,5,350,494
"Basehor Community Library",3698,1391,130,11,77,218,8,1156,2542
"Bern Community Library",28,21,0,0,1,1,0,26,2
"Bonner Springs City Library",3078,1306,179,7,99,285,39,1322,1756
"Burlingame Community Library",336,168,2,3,32,37,25,102,234
"Carbondale City Library",222,107,3,0,11,14,2,88,134
"Centralia Community Library",86,30,0,1,0,1,0,62,24
"Corning City Library",3,0,0,0,1,1,0,4,-1
"Digital Content",0,0,0,0,0,0,0,0,0
"Doniphan County Library - Elwood",66,25,0,0,1,1,1,66,0
"Doniphan County Library - Highland",394,181,6,2,1,9,0,366,28
"Doniphan County Library - Troy",214,106,11,4,9,24,2,164,50
"Doniphan County Library - Wathena",198,74,9,2,5,16,0,152,46
"Effingham Community Library",40,37,0,0,0,0,0,36,4
"Eudora Community Library",545,491,31,6,42,79,0,180,365
"Everest, Barnes Reading Room",132,121,0,1,2,3,0,36,96
"Hiawatha, Morrill Public Library",1210,466,45,6,42,93,7,626,584
"Highland Community College",12,10,1,0,1,2,1,4,8
"Holton, Beck-Bookman Library",924,382,40,8,23,71,14,568,356
"Horton Public Library",58,33,2,1,18,21,1,22,36
"Lansing Community Library",1168,393,106,8,49,163,21,500,668
"Leavenworth Public Library",3508,1405,175,3,77,255,20,882,2626
"Linwood Community Library",288,113,5,0,4,9,1,162,126
"Louisburg Library",0,0,0,0,0,0,0,0,0
"Lyndon Carnegie Library",296,126,12,5,8,25,1,218,78
"McLouth Public Library",132,36,22,3,4,29,0,72,60
"Meriden-Ozawkie Public Library",1000,528,15,2,35,52,1,572,428
"Northeast Kansas Library System",146,59,7,0,3,10,0,118,28
"Nortonville Public Library",146,67,0,0,2,2,2,18,128
"Osage City Library",1120,417,58,3,86,147,8,928,192
"Osawatomie Public Library",840,358,9,3,55,67,10,646,194
"Oskaloosa Public Library",454,166,25,6,15,46,4,338,116
"Ottawa Library",1970,759,147,10,58,215,5,814,1156
"Overbrook Public Library",512,209,15,2,7,24,1,312,200
"Paola Free Library",1014,391,54,8,38,100,5,474,540
"Perry-Lecompton Community Library",17,18,0,0,1,1,0,12,5
"Pomona Community Library",324,58,39,0,7,46,4,70,254
"Prairie Hills Schools - Axtell Public School",74,34,0,0,3,3,0,70,4
"Prairie Hills Schools - Sabetha Elementary School",144,36,5,1,1,7,0,144,0
"Prairie Hills Schools - Sabetha High School",5,5,0,0,0,0,0,2,3
"Prairie Hills Schools - Sabetha Middle School",3,2,0,1,0,1,0,2,1
"Prairie Hills Schools - Wetmore Academic Center",0,0,0,0,0,0,0,0,0
"Richmond Public Library",164,90,0,0,3,3,0,102,62
"Rossville Community Library",728,317,22,2,18,42,0,424,304
"Sabetha, Mary Cotton Library",1466,620,0,4,21,25,5,374,1092
"Seneca Free Library",404,174,22,1,14,37,3,192,212
"Silver Lake Library",572,274,10,3,11,24,0,282,290
"Tonganoxie Public Library",1314,560,58,3,25,86,4,452,862
"Valley Falls, Delaware Township Library",300,134,21,0,7,28,0,134,166
"Wellsville City Library",1026,377,27,3,16,46,1,498,528
"Wetmore Public Library",278,167,7,3,4,14,1,70,208
"Williamsburg Community Library",32,21,0,0,1,1,0,18,14
"Winchester Public Library",206,106,7,0,6,13,1,96,110
