Library,"Requests placed last month","Requests filled last month","Requests cancelled after placement on hold shelf","Requests cancelled while in transit","Requests cancelled before an item was found","Requests cancelled total","Requests expired last month","Requests placed by staff","Requests placed in the OPAC"
"Atchison Public Library",2332,1001,130,19,54,203,6,642,1690
"Baldwin City Public Library",698,313,54,1,18,73,4,284,414
"Basehor Community Library",3296,1543,140,15,70,225,9,1072,2224
"Bern Community Library",34,15,0,0,0,0,0,30,4
"Bonner Springs City Library",3218,1313,204,10,126,340,16,1106,2112
"Burlingame Community Library",360,152,6,2,6,14,0,150,210
"Carbondale City Library",196,78,1,0,5,6,0,98,98
"Centralia Community Library",62,39,1,1,0,2,0,32,30
"Corning City Library",6,4,0,0,0,0,0,6,0
"Digital Content",0,0,0,0,0,0,0,0,0
"Doniphan County Library - Elwood",102,42,1,1,1,3,0,102,0
"Doniphan County Library - Highland",370,184,2,0,4,6,0,308,62
"Doniphan County Library - Troy",244,91,6,2,10,18,0,168,76
"Doniphan County Library - Wathena",150,75,1,4,5,10,1,110,40
"Effingham Community Library",82,20,1,1,0,2,0,68,14
"Eudora Community Library",1048,470,33,4,25,62,1,380,668
"Everest, Barnes Reading Room",268,87,1,1,3,5,0,28,240
"Hiawatha, Morrill Public Library",1182,536,17,6,57,80,17,470,712
"Highland Community College",1,2,0,0,0,0,0,1,0
"Holton, Beck-Bookman Library",864,379,26,4,30,60,9,498,366
"Horton Public Library",66,18,0,0,4,4,0,28,38
"Lansing Community Library",1112,385,112,16,53,181,21,394,718
"Leavenworth Public Library",3478,1493,205,11,103,319,11,996,2482
"Linwood Community Library",244,117,5,0,10,15,3,70,174
"Louisburg Library",0,0,0,0,0,0,0,0,0
"Lyndon Carnegie Library",470,190,9,5,18,32,9,392,78
"McLouth Public Library",122,65,1,0,2,3,1,70,52
"Meriden-Ozawkie Public Library",1232,565,1,11,23,35,2,506,726
"Northeast Kansas Library System",166,31,1,0,58,59,1,152,14
"Nortonville Public Library",92,43,0,0,6,6,3,22,70
"Osage City Library",1250,566,76,21,47,144,5,928,322
"Osawatomie Public Library",734,341,6,1,34,41,2,496,238
"Oskaloosa Public Library",432,177,36,4,26,66,20,296,136
"Ottawa Library",2110,773,159,3,54,216,7,830,1280
"Overbrook Public Library",398,175,7,0,6,13,0,168,230
"Paola Free Library",1088,411,117,8,67,192,3,604,484
"Perry-Lecompton Community Library",63,51,1,0,1,2,0,10,53
"Pomona Community Library",296,152,23,0,7,30,1,114,182
"Prairie Hills Schools - Axtell Public School",42,22,3,0,1,4,0,38,4
"Prairie Hills Schools - Sabetha Elementary School",110,57,2,4,1,7,0,110,0
"Prairie Hills Schools - Sabetha High School",4,4,0,0,0,0,0,2,2
"Prairie Hills Schools - Sabetha Middle School",1,0,0,0,0,0,0,1,0
"Prairie Hills Schools - Wetmore Academic Center",0,0,0,0,0,0,0,0,0
"Richmond Public Library",220,87,0,0,14,14,0,98,122
"Rossville Community Library",754,338,13,0,18,31,1,426,328
"Sabetha, Mary Cotton Library",1320,624,1,0,24,25,1,352,968
"Seneca Free Library",414,187,17,6,14,37,6,208,206
"Silver Lake Library",792,344,18,3,22,43,0,442,350
"Tonganoxie Public Library",1072,456,54,3,17,74,1,418,654
"Valley Falls, Delaware Township Library",260,121,16,0,4,20,1,120,140
"Wellsville City Library",740,386,21,2,17,40,0,390,350
"Wetmore Public Library",304,117,5,2,2,9,0,38,266
"Williamsburg Community Library",76,30,7,0,1,8,1,20,56
"Winchester Public Library",266,119,15,1,6,22,1,126,140
