Library,"Requests placed last month","Requests filled last month","Requests cancelled after placement on hold shelf","Requests cancelled while in transit","Requests cancelled before an item was found","Requests cancelled total","Requests expired last month","Requests placed by staff","Requests placed in the OPAC"
"Atchison Public Library",3032,1193,82,7,76,165,10,828,2204
"Baldwin City Public Library",970,373,25,0,21,46,5,384,586
"Basehor Community Library",3478,1498,174,10,64,248,2,960,2518
"Bern Community Library",24,9,0,0,0,0,0,16,8
"Bonner Springs City Library",3844,1520,192,3,101,296,22,1370,2474
"Burlingame Community Library",544,165,4,2,6,12,0,208,336
"Carbondale City Library",224,123,1,1,3,5,0,102,122
"Centralia Community Library",90,28,0,0,0,0,0,60,30
"Corning City Library",3,7,0,0,0,0,0,3,0
"Digital Content",0,0,0,0,0,0,0,0,0
"Doniphan County Library - Elwood",254,93,3,0,0,3,0,254,0
"Doniphan County Library - Highland",332,129,6,4,7,17,0,276,56
"Doniphan County Library - Troy",298,119,10,2,9,21,0,212,86
"Doniphan County Library - Wathena",142,57,3,0,7,10,0,102,40
"Effingham Community Library",58,31,2,0,0,2,0,48,10
"Eudora Community Library",1338,465,39,5,43,87,2,656,682
"Everest, Barnes Reading Room",212,85,8,1,7,16,1,46,166
"Hiawatha, Morrill Public Library",1208,474,33,11,46,90,22,548,660
"Highland Community College",4,3,0,0,0,0,0,6,-2
"Holton, Beck-Bookman Library",1080,447,66,20,36,122,8,602,478
"Horton Public Library",36,18,0,1,15,16,0,14,22
"Lansing Community Library",1568,533,86,15,60,161,22,556,1012
"Leavenworth Public Library",4352,1549,173,21,119,313,7,1258,3094
"Linwood Community Library",412,143,7,1,8,16,1,226,186
"Louisburg Library",0,0,0,0,0,0,0,0,0
"Lyndon Carnegie Library",360,153,3,1,8,12,3,232,128
"McLouth Public Library",102,41,0,0,0,0,0,78,24
"Meriden-Ozawkie Public Library",922,472,2,0,26,28,1,356,566
"Northeast Kansas Library System",92,34,0,0,2,2,1,74,18
"Nortonville Public Library",76,40,2,1,5,8,3,36,40
"Osage City Library",1142,430,108,7,79,194,28,796,346
"Osawatomie Public Library",1138,471,30,4,58,92,14,680,458
"Oskaloosa Public Library",452,167,34,3,13,50,7,272,180
"Ottawa Library",2200,805,164,9,57,230,3,968,1232
"Overbrook Public Library",410,207,9,0,21,30,2,262,148
"Paola Free Library",1124,363,114,11,33,158,6,604,520
"Perry-Lecompton Community Library",40,83,1,0,0,1,0,24,16
"Pomona Community Library",242,96,33,2,4,39,0,60,182
"Prairie Hills Schools - Axtell Public School",100,54,0,0,0,0,0,98,2
"Prairie Hills Schools - Sabetha Elementary School",156,40,12,4,24,40,10,156,0
"Prairie Hills Schools - Sabetha High School",13,11,0,0,1,1,0,10,3
"Prairie Hills Schools - Sabetha Middle School",28,7,0,1,0,1,0,16,12
"Prairie Hills Schools - Wetmore Academic Center",0,1,0,0,0,0,0,0,0
"Richmond Public Library",224,103,0,0,5,5,0,120,104
"Rossville Community Library",836,319,31,1,13,45,0,530,306
"Sabetha, Mary Cotton Library",1894,885,2,1,31,34,0,524,1370
"Seneca Free Library",536,195,6,0,18,24,4,210,326
"Silver Lake Library",626,290,23,6,16,45,0,298,328
"Tonganoxie Public Library",1698,662,55,7,68,130,1,790,908
"Valley Falls, Delaware Township Library",342,111,14,0,2,16,0,200,142
"Wellsville City Library",1010,435,24,3,46,73,14,688,322
"Wetmore Public Library",84,91,5,1,0,6,0,36,48
"Williamsburg Community Library",64,18,4,0,2,6,0,36,28
"Winchester Public Library",448,119,1,0,16,17,1,182,266
