Library,"Requests placed last month","Requests filled last month","Requests cancelled after placement on hold shelf","Requests cancelled while in transit","Requests cancelled before an item was found","Requests cancelled total","Requests expired last month","Requests placed by staff","Requests placed in the OPAC"
"Atchison Public Library",2516,1044,132,10,43,185,6,580,1936
"Baldwin City Public Library",1060,345,110,3,19,132,4,450,610
"Basehor Community Library",2940,1150,150,7,39,196,2,748,2192
"Bern Community Library",68,22,0,0,1,1,0,66,2
"Bonner Springs City Library",3156,1103,193,10,92,295,33,1422,1734
"Burlingame Community Library",418,197,4,0,16,20,8,202,216
"Carbondale City Library",194,76,0,2,2,4,0,98,96
"Centralia Community Library",98,44,1,0,3,4,2,86,12
"Corning City Library",26,9,1,0,0,1,0,26,0
"Digital Content",0,0,0,0,0,0,0,0,0
"Doniphan County Library - Elwood",216,79,5,1,2,8,0,216,0
"Doniphan County Library - Highland",284,130,1,0,2,3,0,242,42
"Doniphan County Library - Troy",300,112,10,4,9,23,0,230,70
"Doniphan County Library - Wathena",60,35,8,4,1,13,0,46,14
"Effingham Community Library",48,17,1,0,1,2,0,32,16
"Eudora Community Library",1100,486,51,6,12,69,1,500,600
"Everest, Barnes Reading Room",142,68,5,1,2,8,0,18,124
"Hiawatha, Morrill Public Library",984,385,48,10,41,99,28,596,388
"Highland Community College",6,3,0,0,0,0,0,6,0
"Holton, Beck-Bookman Library",1048,358,44,10,52,106,5,636,412
"Horton Public Library",74,17,7,0,4,11,0,30,44
"Lansing Community Library",1116,436,79,2,44,125,20,334,782
"Leavenworth Public Library",3624,1417,155,11,78,244,3,984,2640
"Linwood Community Library",296,99,17,1,20,38,8,142,154
"Louisburg Library",0,0,0,0,0,0,0,0,0
"Lyndon Carnegie Library",528,163,5,2,5,12,0,234,294
"McLouth Public Library",66,34,1,1,1,3,0,58,8
"Meriden-Ozawkie Public Library",896,270,0,0,23,23,0,364,532
"Northeast Kansas Library System",86,34,8,1,13,22,0,60,26
"Nortonville Public Library",126,38,4,2,3,9,0,40,86
"Osage City Library",872,309,72,21,83,176,67,738,134
"Osawatomie Public Library",902,320,14,4,50,68,9,698,204
"Oskaloosa Public Library",414,137,29,2,9,40,1,260,154
"Ottawa Library",2204,689,159,7,66,232,23,960,1244
"Overbrook Public Library",340,111,10,2,7,19,4,174,166
"Paola Free Library",1056,332,73,11,24,108,17,658,398
"Perry-Lecompton Community Library",39,10,2,0,0,2,0,10,29
"Pomona Community Library",50,29,15,1,15,31,1,24,26
"Prairie Hills Schools - Axtell Public School",26,17,1,1,0,2,0,20,6
"Prairie Hills Schools - Sabetha Elementary School",84,31,7,0,1,8,1,84,0
"Prairie Hills Schools - Sabetha High School",118,45,1,1,5,7,0,46,72
"Prairie Hills Schools - Sabetha Middle School",22,8,1,2,3,6,0,22,0
"Prairie Hills Schools - Wetmore Academic Center",1,0,4,0,0,4,0,1,0
"Richmond Public Library",60,47,0,0,2,2,0,25,35
"Rossville Community Library",662,341,16,2,11,29,1,340,322
"Sabetha, Mary Cotton Library",1436,613,2,4,10,16,2,474,962
"Seneca Free Library",422,175,13,0,29,42,11,170,252
"Silver Lake Library",524,226,5,2,6,13,0,266,258
"Tonganoxie Public Library",1900,573,56,52,50,158,7,700,1200
"Valley Falls, Delaware Township Library",408,162,16,1,3,20,0,196,212
"Wellsville City Library",856,349,39,5,33,77,0,536,320
"Wetmore Public Library",210,87,11,1,0,12,0,92,118
"Williamsburg Community Library",74,25,1,4,2,7,2,46,28
"Winchester Public Library",136,144,2,1,20,23,2,26,110
