Library,"Requests placed last month","Requests filled last month","Requests cancelled after placement on hold shelf","Requests cancelled while in transit","Requests cancelled before an item was found","Requests cancelled total","Requests expired last month","Requests placed by staff","Requests placed in the OPAC"
"Atchison Public Library",2710,0,83,8,49,140,2,720,1990
"Baldwin City Public Library",800,0,47,3,24,74,6,322,478
"Basehor Community Library",3526,0,197,14,70,281,7,830,2696
"Bern Community Library",78,0,1,0,0,1,0,62,16
"Bonner Springs City Library",3818,0,190,10,52,252,3,1476,2342
"Burlingame Community Library",432,0,4,2,11,17,5,282,150
"Carbondale City Library",252,0,2,1,1,4,0,168,84
"Centralia Community Library",118,0,5,3,0,8,0,100,18
"Corning City Library",1,0,0,0,0,0,0,1,0
"Digital Content",0,0,0,0,0,0,0,0,0
"Doniphan County Library - Elwood",190,0,2,2,2,6,1,190,0
"Doniphan County Library - Highland",354,0,7,0,10,17,0,242,112
"Doniphan County Library - Troy",326,0,12,5,15,32,0,226,100
"Doniphan County Library - Wathena",184,0,6,9,3,18,0,156,28
"Effingham Community Library",18,0,3,0,0,3,0,13,5
"Eudora Community Library",1306,0,43,13,29,85,1,526,780
"Everest, Barnes Reading Room",276,0,4,0,2,6,1,34,242
"Hiawatha, Morrill Public Library",1036,0,42,3,47,92,10,554,482
"Highland Community College",0,0,0,0,0,0,0,0,0
"Holton, Beck-Bookman Library",1118,0,53,8,22,83,5,628,490
"Horton Public Library",38,0,1,0,0,1,0,18,20
"Lansing Community Library",1622,0,147,6,76,229,11,506,1116
"Leavenworth Public Library",4458,0,261,5,77,343,1,1280,3178
"Linwood Community Library",334,0,14,0,6,20,0,188,146
"Louisburg Library",0,0,0,0,0,0,0,0,0
"Lyndon Carnegie Library",496,0,10,2,16,28,2,302,194
"McLouth Public Library",92,0,5,0,2,7,0,72,20
"Meriden-Ozawkie Public Library",768,0,4,0,9,13,0,426,342
"Northeast Kansas Library System",140,0,3,0,5,8,0,118,22
"Nortonville Public Library",230,0,4,1,2,7,0,32,198
"Osage City Library",1108,0,90,10,82,182,47,878,230
"Osawatomie Public Library",946,0,19,3,81,103,37,724,222
"Oskaloosa Public Library",606,0,108,1,10,119,0,456,150
"Ottawa Library",2422,0,217,7,46,270,7,1256,1166
"Overbrook Public Library",532,0,14,0,2,16,0,278,254
"Paola Free Library",1230,0,146,4,18,168,0,680,550
"Perry-Lecompton Community Library",42,0,2,0,2,4,1,18,24
"Pomona Community Library",410,0,10,1,2,13,0,74,336
"Prairie Hills Schools - Axtell Public School",42,0,0,0,1,1,0,36,6
"Prairie Hills Schools - Sabetha Elementary School",144,0,3,1,0,4,0,144,0
"Prairie Hills Schools - Sabetha High School",5,0,0,0,0,0,0,2,3
"Prairie Hills Schools - Sabetha Middle School",22,0,0,0,1,1,0,22,0
"Prairie Hills Schools - Wetmore Academic Center",5,0,0,0,0,0,0,0,5
"Richmond Public Library",138,0,0,1,3,4,0,92,46
"Rossville Community Library",742,0,13,1,14,28,0,490,252
"Sabetha, Mary Cotton Library",1402,0,1,1,38,40,7,544,858
"Seneca Free Library",388,0,14,0,6,20,0,206,182
"Silver Lake Library",480,0,16,8,5,29,0,234,246
"Tonganoxie Public Library",1576,0,48,8,27,83,3,854,722
"Valley Falls, Delaware Township Library",406,0,20,2,5,27,0,206,200
"Wellsville City Library",1022,0,13,3,21,37,0,632,390
"Wetmore Public Library",222,0,5,7,2,14,1,74,148
"Williamsburg Community Library",28,0,1,0,1,2,0,12,16
"Winchester Public Library",318,0,2,3,4,9,1,100,218
