branchname,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,MONTHLY_TOTAL
" DATE",2023-06-01,2023-06-02,2023-06-03,2023-06-04,2023-06-05,2023-06-06,2023-06-07,2023-06-08,2023-06-09,2023-06-10,2023-06-11,2023-06-12,2023-06-13,2023-06-14,2023-06-15,2023-06-16,2023-06-17,2023-06-18,2023-06-19,2023-06-20,2023-06-21,2023-06-22,2023-06-23,2023-06-24,2023-06-25,2023-06-26,2023-06-27,2023-06-28,2023-06-29,2023-06-30,NA,"2023-06-01 - 2023-06-30"
" DAY",Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,NA,-
"Atchison Public Library",70,45,35,4,94,80,70,70,43,40,5,84,65,72,88,61,46,1,73,67,73,87,64,50,8,75,68,89,67,63,,708
"Baldwin City Public Library",43,34,13,2,42,65,55,32,26,29,1,55,44,51,45,26,23,1,6,69,58,31,36,25,2,46,45,50,44,45,,423
"Basehor Community Library",99,101,62,38,125,109,111,103,67,65,37,104,115,117,116,89,62,44,18,137,127,118,81,78,46,101,116,133,100,62,,1158
"Bern Community Library",1,2,3,,4,5,1,5,,,,5,4,2,1,1,2,,4,5,3,4,,5,,1,8,4,3,,,30
"Bonner Springs City Library",66,47,83,23,70,71,77,70,44,41,22,70,82,85,50,62,43,20,3,98,81,66,66,60,38,63,97,71,71,71,,837
"Burlingame Community Library",10,9,5,,6,6,12,12,4,4,1,9,7,21,5,6,2,1,7,5,17,7,4,5,1,10,5,12,10,8,,100
"Carbondale City Library",11,13,4,,9,11,32,18,9,5,,18,12,24,6,5,6,,8,7,26,5,9,9,,5,9,22,10,17,,142
"Centralia Community Library",4,4,4,,9,,23,3,8,3,,7,,18,3,4,3,,9,1,22,6,13,1,,11,,24,3,7,,72
"Corning City Library",,,1,,3,,2,,,20,,1,1,1,9,,11,,,,,,11,,,,,1,10,,,39
"Digital Content",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doniphan County Library - Elwood",,1,,,,4,2,,2,,,3,7,3,3,1,,,2,,,1,,1,,1,1,5,5,6,,30
"Doniphan County Library - Highland",6,9,3,,6,4,6,8,9,2,1,6,7,11,5,9,4,1,7,8,13,5,2,6,,8,2,9,4,5,,61
"Doniphan County Library - Troy",18,9,5,1,18,15,8,15,11,2,,10,16,19,12,6,2,,12,14,13,21,6,6,1,16,21,13,16,14,,145
"Doniphan County Library - Wathena",5,4,4,,9,6,3,4,3,2,,9,2,3,7,4,2,,9,6,2,4,3,2,,8,7,7,4,6,,58
"Effingham Community Library",3,6,2,,4,5,8,7,3,4,,4,1,14,2,2,1,,,1,12,3,4,2,,4,6,9,3,4,,49
"Eudora Community Library",34,29,10,1,44,41,48,32,35,25,4,28,23,35,21,25,15,2,3,43,46,32,26,27,1,33,30,33,26,30,,285
"Everest, Barnes Reading Room",2,5,1,,4,1,,1,9,2,,1,2,,1,3,,,1,2,,,4,1,,2,5,,,1,,25
"Hiawatha, Morrill Public Library",47,32,9,7,46,23,38,49,26,11,7,42,34,32,42,26,10,3,2,36,8,55,29,12,6,39,37,37,31,26,,364
"Highland Community College",,,,,2,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,3
"Holton, Beck-Bookman Library",42,31,15,1,43,55,34,38,25,10,,45,43,36,54,31,12,,36,47,21,47,39,8,,39,44,31,49,35,,402
"Horton Public Library",5,2,2,,3,,,2,5,,,1,1,3,2,1,2,,,2,1,2,1,2,,3,1,4,1,1,,27
"Lansing Community Library",34,41,40,2,43,55,47,54,26,39,2,50,32,43,29,37,19,1,36,51,33,48,40,38,4,57,31,36,35,30,,495
"Leavenworth Public Library",127,87,83,33,104,112,131,88,77,77,36,121,115,109,107,76,74,37,6,159,112,91,84,59,41,97,107,112,106,87,,1207
"Linwood Community Library",8,18,6,3,9,11,12,11,13,7,,11,13,9,8,16,5,1,5,17,9,9,12,6,1,11,19,15,4,13,,115
"Louisburg Library",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lyndon Carnegie Library",21,1,6,,21,15,13,11,,7,,22,9,15,12,,2,,22,12,16,12,1,5,,19,16,14,13,,,126
"McLouth Public Library",2,2,,,8,5,4,6,3,3,,5,4,7,4,5,1,,2,3,6,,4,,1,7,3,3,3,5,,43
"Meriden-Ozawkie Public Library",36,30,8,,23,35,20,27,26,11,2,26,37,23,30,15,4,,25,36,25,24,36,7,1,25,32,16,28,25,,267
"Northeast Kansas Library System",2,,,,1,1,2,1,1,,,1,3,,1,1,,,1,2,2,4,2,,,1,1,1,,2,,11
"Nortonville Public Library",7,15,1,,,10,9,10,7,,,1,8,3,12,8,2,,,7,8,5,9,2,,1,8,,10,4,,68
"Osage City Library",26,28,19,1,60,55,47,35,40,17,,48,61,46,37,37,13,,42,50,58,29,26,17,,36,29,40,32,50,,370
"Osawatomie Public Library",26,33,15,,23,44,35,37,34,15,,52,35,37,32,16,13,2,2,43,32,43,35,12,,39,28,28,31,40,,276
"Oskaloosa Public Library",16,13,9,,24,18,17,20,23,16,1,10,15,12,20,19,7,,22,16,9,14,15,6,,20,14,12,9,28,,177
"Ottawa Library",106,97,43,,103,110,102,94,72,43,5,154,95,83,94,83,26,2,120,90,84,89,74,34,5,114,113,97,100,81,,1043
"Overbrook Public Library",20,12,7,,14,15,18,14,20,12,1,21,28,17,29,8,5,1,12,21,25,21,17,8,,11,17,18,28,18,,177
"Paola Free Library",76,55,33,1,71,71,71,88,48,26,3,70,63,58,54,11,32,2,7,112,60,54,48,32,2,60,82,68,69,52,,630
"Perry-Lecompton Community Library",4,,2,,,5,,22,,2,,,4,,18,,,,,5,,14,,6,1,,12,,14,,,68
"Pomona Community Library",4,3,1,,,7,4,5,,4,,,6,1,3,2,1,,,3,4,5,1,2,,,7,,2,4,,30
"Prairie Hills Schools - Axtell Public School",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prairie Hills Schools - Sabetha Elementary School",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prairie Hills Schools - Sabetha High School",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prairie Hills Schools - Sabetha Middle School",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Richmond Public Library",18,10,8,,11,1,15,15,13,10,,13,,9,13,10,3,,1,1,21,13,17,10,1,12,,12,8,10,,52
"Rossville Community Library",28,28,7,,19,40,16,26,27,5,,20,33,17,18,39,8,,32,16,38,22,9,7,1,28,27,19,32,23,,258
"Sabetha, Mary Cotton Library",38,38,20,1,44,29,39,32,31,17,,35,25,40,28,28,10,2,45,36,43,21,26,17,5,25,42,40,34,27,,334
"Seneca Free Library",21,29,18,,53,36,49,31,20,9,2,41,39,41,25,32,13,2,46,37,29,43,32,12,,42,43,30,34,24,,354
"Silver Lake Library",39,19,10,,15,35,18,27,11,7,3,25,31,18,35,8,4,,16,36,9,37,20,7,,16,39,17,18,12,,219
"Tonganoxie Public Library",78,65,34,15,72,84,75,72,54,27,20,74,61,68,77,45,23,15,54,74,62,73,48,36,22,80,60,68,66,52,,706
"Valley Falls, Delaware Township Library",6,12,4,1,10,7,9,5,14,6,,8,7,11,7,15,1,,6,5,11,6,11,2,,4,8,8,2,11,,92
"Wellsville City Library",25,17,16,,24,25,41,19,21,7,,22,28,38,15,18,7,,21,20,33,13,17,12,1,16,35,24,16,18,,225
"Wetmore Public Library",1,5,1,1,5,2,13,2,4,7,,4,2,3,6,6,2,,7,3,8,9,8,1,,2,4,14,3,2,,46
"Williamsburg Community Library",3,,1,,14,1,8,1,,3,,8,1,7,3,,3,,6,1,9,1,,3,,14,1,10,2,,,62
"Winchester Public Library",9,13,1,1,14,7,8,14,17,,,8,15,11,8,6,2,,6,15,5,11,8,4,,10,15,12,16,4,,90
