Library,"Requests placed last month","Requests filled last month","Requests cancelled after placement on hold shelf","Requests cancelled while in transit","Requests cancelled before an item was found","Requests cancelled total","Requests expired last month","Requests placed by staff","Requests placed in the OPAC"
"Atchison Public Library",3032,0,101,11,48,160,1,820,2212
"Baldwin City Public Library",972,0,30,2,16,48,2,342,630
"Basehor Community Library",2884,0,172,9,64,245,4,992,1892
"Bern Community Library",42,0,0,0,0,0,0,42,0
"Bonner Springs City Library",3142,0,247,3,83,333,3,1370,1772
"Burlingame Community Library",426,0,6,3,46,55,19,200,226
"Carbondale City Library",224,0,1,0,11,12,0,80,144
"Centralia Community Library",86,0,1,0,1,2,0,74,12
"Corning City Library",0,0,0,0,0,0,0,0,0
"Digital Content",0,0,0,0,0,0,0,0,0
"Doniphan County Library - Elwood",184,0,2,3,2,7,0,184,0
"Doniphan County Library - Highland",376,0,0,0,6,6,0,200,176
"Doniphan County Library - Troy",266,0,11,1,9,21,0,182,84
"Doniphan County Library - Wathena",280,0,23,5,7,35,0,178,102
"Effingham Community Library",104,0,0,0,2,2,0,98,6
"Eudora Community Library",1248,0,63,10,31,104,0,626,622
"Everest, Barnes Reading Room",84,0,2,0,1,3,0,30,54
"Hiawatha, Morrill Public Library",1132,0,52,2,56,110,7,642,490
"Highland Community College",6,0,0,0,0,0,0,0,6
"Holton, Beck-Bookman Library",892,0,12,0,5,17,0,394,498
"Horton Public Library",30,0,2,0,1,3,0,18,12
"Lansing Community Library",1184,0,103,5,46,154,16,278,906
"Leavenworth Public Library",4002,0,162,11,86,259,1,1104,2898
"Linwood Community Library",242,0,11,2,12,25,0,122,120
"Louisburg Library",0,0,0,0,0,0,0,0,0
"Lyndon Carnegie Library",480,0,4,4,21,29,0,210,270
"McLouth Public Library",82,0,4,0,2,6,0,60,22
"Meriden-Ozawkie Public Library",936,0,7,2,18,27,0,416,520
"Northeast Kansas Library System",34,0,0,0,3,3,3,32,2
"Nortonville Public Library",98,0,2,0,2,4,0,62,36
"Osage City Library",1262,0,80,9,122,211,51,958,304
"Osawatomie Public Library",826,0,11,0,47,58,10,602,224
"Oskaloosa Public Library",272,0,12,2,6,20,0,170,102
"Ottawa Library",2378,0,185,6,36,227,3,942,1436
"Overbrook Public Library",498,0,7,5,24,36,0,188,310
"Paola Free Library",1066,0,105,1,33,139,0,660,406
"Perry-Lecompton Community Library",32,0,0,0,2,2,0,10,22
"Pomona Community Library",90,0,50,0,2,52,0,38,52
"Prairie Hills Schools - Axtell Public School",0,0,0,0,0,0,0,0,0
"Prairie Hills Schools - Sabetha Elementary School",0,0,0,0,0,0,0,0,0
"Prairie Hills Schools - Sabetha High School",0,0,0,0,0,0,0,0,0
"Prairie Hills Schools - Sabetha Middle School",0,0,0,0,0,0,0,0,0
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",0,0,0,0,0,0,0,0,0
"Richmond Public Library",85,0,5,0,3,8,0,66,19
"Rossville Community Library",820,0,11,0,30,41,0,564,256
"Sabetha, Mary Cotton Library",1042,0,1,0,13,14,0,326,716
"Seneca Free Library",400,0,7,0,13,20,5,154,246
"Silver Lake Library",566,0,12,2,8,22,0,232,334
"Tonganoxie Public Library",1622,0,51,2,27,80,9,716,906
"Valley Falls, Delaware Township Library",352,0,20,1,6,27,0,126,226
"Wellsville City Library",630,0,22,4,24,50,1,344,286
"Wetmore Public Library",244,0,3,0,1,4,0,48,196
"Williamsburg Community Library",24,0,1,0,1,2,0,20,4
"Winchester Public Library",368,0,4,0,8,12,0,226,142
