Library,"Requests placed last month","Requests filled last month","Requests cancelled after placement on hold shelf","Requests cancelled while in transit","Requests cancelled before an item was found","Requests cancelled total","Requests expired last month","Requests placed by staff","Requests placed in the OPAC"
"Atchison Public Library",2890,0,80,9,51,140,1,452,2438
"Baldwin City Public Library",1172,0,34,4,19,57,2,284,888
"Basehor Community Library",2416,0,185,3,53,241,1,556,1860
"Bern Community Library",78,0,1,1,0,2,0,68,10
"Bonner Springs City Library",3228,0,240,0,80,320,10,1006,2222
"Burlingame Community Library",336,0,6,1,13,20,2,160,176
"Carbondale City Library",100,0,3,0,1,4,0,64,36
"Centralia Community Library",68,0,1,0,0,1,0,42,26
"Corning City Library",0,0,0,0,0,0,0,0,0
"Digital Content",0,0,0,0,0,0,0,0,0
"Doniphan County Library - Elwood",96,0,1,0,2,3,0,80,16
"Doniphan County Library - Highland",294,0,5,0,2,7,0,94,200
"Doniphan County Library - Troy",232,0,20,4,9,33,0,124,108
"Doniphan County Library - Wathena",298,0,28,1,9,38,0,174,124
"Effingham Community Library",68,0,1,0,0,1,0,56,12
"Eudora Community Library",1420,0,46,14,30,90,0,388,1032
"Everest, Barnes Reading Room",98,0,3,1,2,6,1,12,86
"Hiawatha, Morrill Public Library",900,0,39,9,36,84,6,348,552
"Highland Community College",9,0,0,0,1,1,0,2,7
"Holton, Beck-Bookman Library",958,0,54,3,51,108,1,370,588
"Horton Public Library",72,0,4,1,2,7,0,42,30
"Lansing Community Library",1566,0,114,7,46,167,7,396,1170
"Leavenworth Public Library",3702,0,206,5,94,305,5,760,2942
"Linwood Community Library",356,0,12,0,4,16,0,102,254
"Louisburg Library",0,0,0,0,0,0,0,0,0
"Lyndon Carnegie Library",396,0,22,5,3,30,1,174,222
"McLouth Public Library",98,0,18,0,0,18,0,34,64
"Meriden-Ozawkie Public Library",842,0,3,1,9,13,0,254,588
"Northeast Kansas Library System",92,0,3,0,4,7,0,56,36
"Nortonville Public Library",148,0,1,0,0,1,0,50,98
"Osage City Library",1204,0,79,5,49,133,20,608,596
"Osawatomie Public Library",880,0,17,0,34,51,12,530,350
"Oskaloosa Public Library",324,0,14,1,3,18,0,218,106
"Ottawa Library",2174,0,207,4,37,248,4,836,1338
"Overbrook Public Library",298,0,8,1,6,15,0,112,186
"Paola Free Library",1046,0,149,5,57,211,8,404,642
"Perry-Lecompton Community Library",16,0,2,0,2,4,0,5,11
"Pomona Community Library",200,0,13,1,1,15,0,62,138
"Prairie Hills Schools - Axtell Public School",108,0,1,2,1,4,0,104,4
"Prairie Hills Schools - Sabetha Elementary School",198,0,3,0,1,4,0,148,50
"Prairie Hills Schools - Sabetha High School",2,0,0,0,0,0,0,1,1
"Prairie Hills Schools - Sabetha Middle School",48,0,1,0,1,2,0,24,24
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",0,0,0,0,0,0,0,0,0
"Richmond Public Library",112,0,2,0,3,5,0,76,36
"Rossville Community Library",780,0,13,0,18,31,0,338,442
"Sabetha, Mary Cotton Library",1414,0,2,2,22,26,0,308,1106
"Seneca Free Library",580,0,6,0,46,52,6,172,408
"Silver Lake Library",630,0,12,1,7,20,0,264,366
"Tonganoxie Public Library",1638,0,89,11,31,131,6,548,1090
"Valley Falls, Delaware Township Library",296,0,33,0,4,37,0,96,200
"Wellsville City Library",796,0,15,1,11,27,5,286,510
"Wetmore Public Library",248,0,10,0,0,10,0,50,198
"Williamsburg Community Library",32,0,1,0,0,1,0,16,16
"Winchester Public Library",676,0,5,0,9,14,3,160,516
