Library,"Requests placed last month","Requests filled last month","Requests cancelled after placement on hold shelf","Requests cancelled while in transit","Requests cancelled before an item was found","Requests cancelled total","Requests expired last month","Requests placed by staff","Requests placed in the OPAC"
"Atchison Public Library",3064,0,105,6,47,158,1,496,2568
"Baldwin City Public Library",854,0,39,0,164,203,1,240,614
"Basehor Community Library",2736,0,162,7,78,247,12,528,2208
"Bern Community Library",26,0,0,0,0,0,0,20,6
"Bonner Springs City Library",3212,0,271,5,71,347,11,1098,2114
"Burlingame Community Library",310,0,0,0,21,21,10,82,228
"Carbondale City Library",132,0,2,3,1,6,0,56,76
"Centralia Community Library",116,0,2,0,0,2,0,54,62
"Corning City Library",0,0,0,0,0,0,0,0,0
"Digital Content",0,0,0,0,0,0,0,0,0
"Doniphan County Library - Elwood",266,0,5,1,3,9,0,214,52
"Doniphan County Library - Highland",496,0,1,0,10,11,0,148,348
"Doniphan County Library - Troy",236,0,13,4,3,20,0,116,120
"Doniphan County Library - Wathena",174,0,15,5,3,23,0,128,46
"Effingham Community Library",48,0,1,0,0,1,0,40,8
"Eudora Community Library",1394,0,46,3,25,74,1,450,944
"Everest, Barnes Reading Room",106,0,4,0,2,6,0,14,92
"Hiawatha, Morrill Public Library",888,0,34,5,16,55,4,286,602
"Highland Community College",4,0,0,0,1,1,0,3,1
"Holton, Beck-Bookman Library",854,0,34,4,30,68,3,444,410
"Horton Public Library",76,0,0,0,7,7,0,40,36
"Lansing Community Library",1608,0,129,3,38,170,11,328,1280
"Leavenworth Public Library",3930,0,202,3,75,280,7,868,3062
"Linwood Community Library",382,0,20,0,4,24,0,168,214
"Louisburg Library",0,0,0,0,0,0,0,0,0
"Lyndon Carnegie Library",492,0,3,2,7,12,0,166,326
"McLouth Public Library",98,0,11,0,1,12,0,30,68
"Meriden-Ozawkie Public Library",924,0,8,0,17,25,2,266,658
"Northeast Kansas Library System",84,0,1,1,0,2,0,60,24
"Nortonville Public Library",154,0,3,0,2,5,0,48,106
"Osage City Library",1250,0,145,3,67,215,33,626,624
"Osawatomie Public Library",1076,0,9,0,41,50,16,628,448
"Oskaloosa Public Library",356,0,19,0,6,25,0,164,192
"Ottawa Library",2308,0,216,3,46,265,1,766,1542
"Overbrook Public Library",382,0,3,0,24,27,2,152,230
"Paola Free Library",940,0,112,3,26,141,0,388,552
"Perry-Lecompton Community Library",18,0,0,0,2,2,0,2,16
"Pomona Community Library",134,0,51,4,2,57,1,72,62
"Prairie Hills Schools - Axtell Public School",18,0,0,0,0,0,0,16,2
"Prairie Hills Schools - Sabetha Elementary School",198,0,4,0,0,4,0,180,18
"Prairie Hills Schools - Sabetha High School",3,0,0,0,0,0,0,1,2
"Prairie Hills Schools - Sabetha Middle School",56,0,9,1,0,10,0,38,18
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",0,0,0,0,0,0,0,0,0
"Richmond Public Library",222,0,2,9,2,13,0,68,154
"Rossville Community Library",770,0,25,1,12,38,0,384,386
"Sabetha, Mary Cotton Library",1514,0,4,1,18,23,2,396,1118
"Seneca Free Library",508,0,9,1,12,22,2,146,362
"Silver Lake Library",688,0,14,5,9,28,0,236,452
"Tonganoxie Public Library",2136,0,54,0,60,114,7,830,1306
"Valley Falls, Delaware Township Library",324,0,29,0,6,35,1,90,234
"Wellsville City Library",806,0,39,7,19,65,4,318,488
"Wetmore Public Library",206,0,1,0,5,6,0,52,154
"Williamsburg Community Library",40,0,4,0,0,4,0,16,24
"Winchester Public Library",670,0,10,2,8,20,1,172,498
