Library,"Requests placed last month","Requests filled last month","Requests cancelled after placement on hold shelf","Requests cancelled while in transit","Requests cancelled before an item was found","Requests cancelled total","Requests expired last month","Requests placed by staff","Requests placed in the OPAC"
"Atchison Public Library",2126,0,75,6,43,124,3,310,1816
"Baldwin City Public Library",740,0,22,3,23,48,1,230,510
"Basehor Community Library",2530,0,131,6,55,192,13,524,2006
"Bern Community Library",16,0,0,0,0,0,0,14,2
"Bonner Springs City Library",2460,0,159,2,72,233,7,876,1584
"Burlingame Community Library",344,0,5,1,0,6,0,138,206
"Carbondale City Library",140,0,3,0,7,10,0,78,62
"Centralia Community Library",146,0,1,0,3,4,1,92,54
"Corning City Library",0,0,0,0,0,0,0,0,0
"Digital Content",0,0,0,0,0,0,0,0,0
"Doniphan County Library - Elwood",46,0,1,1,1,3,1,34,12
"Doniphan County Library - Highland",406,0,3,2,40,45,0,84,322
"Doniphan County Library - Troy",262,0,7,1,6,14,0,144,118
"Doniphan County Library - Wathena",180,0,13,7,22,42,0,104,76
"Effingham Community Library",98,0,0,0,2,2,0,68,30
"Eudora Community Library",1010,0,56,6,13,75,1,434,576
"Everest, Barnes Reading Room",88,0,6,0,1,7,0,24,64
"Hiawatha, Morrill Public Library",966,0,23,0,15,38,2,194,772
"Highland Community College",1,0,0,0,0,0,0,1,0
"Holton, Beck-Bookman Library",834,0,33,4,15,52,0,348,486
"Horton Public Library",82,0,13,0,6,19,0,34,48
"Lansing Community Library",1270,0,107,5,65,177,14,300,970
"Leavenworth Public Library",3178,0,226,5,97,328,1,698,2480
"Linwood Community Library",284,0,13,1,13,27,0,144,140
"Louisburg Library",0,0,0,0,0,0,0,0,0
"Lyndon Carnegie Library",408,0,17,7,24,48,1,208,200
"McLouth Public Library",50,0,0,0,0,0,0,22,28
"Meriden-Ozawkie Public Library",872,0,2,2,4,8,0,286,586
"Northeast Kansas Library System",96,0,2,1,12,15,10,82,14
"Nortonville Public Library",74,0,2,0,2,4,1,36,38
"Osage City Library",1068,0,87,4,125,216,30,566,502
"Osawatomie Public Library",652,0,9,0,57,66,21,338,314
"Oskaloosa Public Library",250,0,14,1,6,21,1,116,134
"Ottawa Library",1720,0,144,6,35,185,0,568,1152
"Overbrook Public Library",376,0,1,3,15,19,2,148,228
"Paola Free Library",784,0,128,1,26,155,0,388,396
"Perry-Lecompton Community Library",38,0,0,0,0,0,0,6,32
"Pomona Community Library",158,0,22,0,2,24,0,60,98
"Prairie Hills Schools - Axtell Public School",25,0,2,0,0,2,0,8,17
"Prairie Hills Schools - Sabetha Elementary School",110,0,2,0,0,2,0,50,60
"Prairie Hills Schools - Sabetha High School",2,0,0,0,0,0,0,0,2
"Prairie Hills Schools - Sabetha Middle School",4,0,0,0,1,1,0,2,2
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",0,0,0,0,0,0,0,0,0
"Richmond Public Library",234,0,4,0,10,14,0,80,154
"Rossville Community Library",560,0,21,0,9,30,0,274,286
"Sabetha, Mary Cotton Library",1152,0,1,6,31,38,2,328,824
"Seneca Free Library",368,0,4,1,8,13,3,96,272
"Silver Lake Library",600,0,20,3,11,34,0,238,362
"Tonganoxie Public Library",1714,0,72,1,43,116,18,558,1156
"Valley Falls, Delaware Township Library",260,0,4,0,4,8,0,88,172
"Wellsville City Library",570,0,38,1,12,51,3,208,362
"Wetmore Public Library",196,0,5,1,0,6,0,30,166
"Williamsburg Community Library",46,0,0,0,1,1,0,20,26
"Winchester Public Library",458,0,4,1,12,17,0,132,326
